Treatment Pressure of Stage 1,Treatment Pressure of Stage 2,Treatment Volume of Stage 1,Treatment Volume of Stage 2,Fracture Spacing,NPV,Length of Fracture 1,Width of Fracture 1,Length of Fracture 2,Width of Fracture 2,Length of Fracture 3,Width of Fracture 3,Length of Fracture 4,Width of Fracture 4,Length of Fracture 5,Width of Fracture 5,Length of Fracture 6,Width of Fracture 6,Length of Fracture 7,Width of Fracture 7,Length of Fracture 8,Width of Fracture 8
27.8264,27.564,609.55,2084.45,57.41,-5585000,12,0.0206254,12,0.0204716,12,0.0204716,12,0.0206254,26.9331,0.0289204,26.8715,0.0285288,26.8777,0.0285434,27.0365,0.0291883
28.4616,22.116,1607.05,2754,23.935,-820091,23.2627,0.0269395,22.0619,0.0215454,22.0619,0.0215454,23.2627,0.0269395,12,0.000124,182.667,0.0099368,139.985,0.0075361,186.634,0.0100574
29.3416,26.088,2895.75,1228.35,36.955,-1568440,25.1491,0.0340246,24.6579,0.0314896,24.6579,0.0314896,25.1491,0.0340246,22.6602,0.0178564,23.3606,0.0191385,23.4298,0.01925,23.8802,0.0207875
22.1416,27.8584,858.75,1429.25,39.615,-1555170,43.3552,0.008629,42.2423,0.0080226,42.2423,0.0080226,43.3552,0.008629,19.1445,0.0247142,19.076,0.0240131,19.0883,0.0240587,19.2825,0.025343
23.0424,24.1912,1823,1967.9,23.695,-583412,69.0478,0.0128739,59.9812,0.0096314,59.9812,0.0096314,69.0478,0.0128739,48.8441,0.0135047,50.3063,0.013168,49.7716,0.012747,56.5813,0.0170549
24.3432,23.1944,3034.7,2122.6,47.945,-4052130,58.8661,0.0200939,57.805,0.0192059,57.805,0.0192059,58.8661,0.0200939,57.8333,0.0136664,59.4945,0.0140004,59.7153,0.0140695,60.8825,0.0147404
26,22.1912,3358.1,811.15,27.145,-800328,51.1121,0.0248073,47.0856,0.0203376,47.0856,0.0203376,51.1121,0.0248073,31.0179,0.0026171,52.1539,0.0075186,52.733,0.0072778,57.3868,0.0088412
27.1336,23.5928,2320.35,1950.05,13.69,-183912,45.551,0.0270081,31.453,0.0104893,31.453,0.0104893,45.551,0.0270081,12,0,76.6745,0.0113568,51.9568,0.0050589,112.27,0.0165701
28.448,23.376,1356.45,1840.5,18.125,-25532.8,22.7107,0.0249324,20.7085,0.0165404,20.7085,0.0165404,22.7107,0.0249324,12,0,81.8748,0.0137994,58.0371,0.0075371,88.4144,0.01483
29.4744,29.0176,750.25,1735.15,20.105,270082,12,0.0217047,12,0.0184372,12,0.0184372,12,0.0217047,22.2307,0.0234895,21.8409,0.0202093,21.7766,0.0198543,23.5996,0.0278476
22.0416,25.7184,3246.8,1335.8,20.3,-645382,185.942,0.0094572,130.178,0.0062933,130.178,0.0062933,185.942,0.0094572,29.7496,0.0182867,27.4411,0.013201,27.4164,0.0130497,30.5803,0.0188883
23.3552,25.5008,2282.9,2194.7,24.735,-814802,73.3431,0.0145017,64.4338,0.0111972,64.4338,0.0111972,73.3431,0.0145017,40.6674,0.018301,40.4205,1.68E-02,40.3867,0.0166191,44.5292,0.0214016
22.2432,26.3616,2996.9,1018.35,47.765,-3674950,114.443,0.0114011,112.408,0.01097,112.408,0.01097,114.443,0.0114011,17.9791,0.0194904,17.9684,0.0192967,17.9786,0.0193382,18.0676,0.0198816
23.8192,23.156,3495.3,2402.25,16.605,-959526,114.293,0.0172359,73.3637,0.0093824,73.3637,0.0093824,114.293,0.0172359,50.7347,0.0041301,105.15,0.0105848,74.6668,0.0072656,132.439,0.0146091
